location,date,metric,value
NY,2026-06-04,max,74.0
NY,2026-06-04,min,74.0
NY,2026-06-05,max,74.0
NY,2026-06-05,min,74.0
NY,2026-06-06,max,74.0
NY,2026-06-06,min,74.0
NY,2026-06-07,max,74.0
NY,2026-06-07,min,74.0
NY,2026-06-08,max,74.0
NY,2026-06-08,min,74.0
NY,2026-06-12,max,74.0
NY,2026-06-12,min,74.0
NY,2026-06-13,max,74.0
NY,2026-06-13,min,74.0
NY,2026-06-15,max,74.0
NY,2026-06-15,min,74.0
NY,2026-06-16,max,74.0
NY,2026-06-16,min,74.0
NY,2026-06-20,max,74.0
NY,2026-06-20,min,74.0
NY,2026-07-08,max,74.0
NY,2026-07-08,min,74.0
NY,2026-07-09,max,74.0
NY,2026-07-09,min,74.0
NY,2026-07-24,max,74.0
NY,2026-07-24,min,74.0
