quote_id,ts,market_symbol,market_name,local_symbol,strike,right,side,bid,ask,mid,spread,bid_size,ask_size,implied_prob
1,2026-05-24T18:58:48.052607+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.2,0.23,0.215,0.03,,,0.215
2,2026-05-24T18:58:48.864963+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.8,0.44,0.72,,,0.44
3,2026-05-24T18:58:49.672754+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.8,0.44,0.72,,,0.44
4,2026-05-24T18:58:50.511869+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.75,0.705,0.09,,,0.705
5,2026-05-24T18:58:51.395807+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.75,0.705,0.09,,,0.705
6,2026-05-24T18:58:52.384588+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.46,0.74,0.6,0.28,,,0.6
7,2026-05-24T18:58:53.317478+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.46,0.74,0.6,0.28,,,0.6
8,2026-05-24T19:00:33.783727+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.2,0.23,0.215,0.03,,,0.215
9,2026-05-24T19:00:35.046323+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.8,0.44,0.72,,,0.44
10,2026-05-24T19:00:36.559864+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.8,0.44,0.72,,,0.44
11,2026-05-24T19:00:37.658842+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.75,0.705,0.09,,,0.705
12,2026-05-24T19:00:38.493559+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.75,0.705,0.09,,,0.705
13,2026-05-24T19:00:39.410023+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.46,0.74,0.6,0.28,,,0.6
14,2026-05-24T19:00:40.335858+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.46,0.74,0.6,0.28,,,0.6
15,2026-05-24T19:01:06.147756+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.2,0.23,0.215,0.03,,,0.215
16,2026-05-24T19:01:07.107873+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.8,0.44,0.72,,,0.44
17,2026-05-24T19:01:07.999226+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.8,0.44,0.72,,,0.44
18,2026-05-24T19:01:08.973952+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.75,0.705,0.09,,,0.705
19,2026-05-24T19:01:09.917019+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.75,0.705,0.09,,,0.705
20,2026-05-24T19:01:11.084325+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.46,0.74,0.6,0.28,,,0.6
21,2026-05-24T19:01:12.224136+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.46,0.74,0.6,0.28,,,0.6
22,2026-05-24T19:01:42.216218+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.22,0.23,0.225,0.01,,,0.225
